恒盛鼎城华公馆,59914元/m2,6套在售二手房
永新城,111343元/m2,11套在售二手房
浦江馨都,36209元/m2,37套在售二手房
新江湾时代花园,71199元/m2,20套在售二手房
鹤沙航城东茗苑,34786元/m2,5套在售二手房
茂盛城市花园,74165元/m2,18套在售二手房
风度国际,74373元/m2,8套在售二手房
花木绿城锦绣兰庭,108629元/m2,15套在售二手房
银都新村(1至7区),45462元/m2,35套在售二手房
中福浦江汇,106945元/m2,5套在售二手房
龙湖滟澜山(公寓),35467元/m2,39套在售二手房
皇都花园(公寓),73293元/m2,28套在售二手房
嘉御庭,97765元/m2,6套在售二手房
滨江名人苑,97357元/m2,17套在售二手房
浦江颐城(公寓),54638元/m2,17套在售二手房
锦华花园,66839元/m2,5套在售二手房
潍坊十村,100137元/m2,20套在售二手房
御景园,93574元/m2,12套在售二手房
锦绣江南(四期),75287元/m2,17套在售二手房
翰城国际,65588元/m2,6套在售二手房
安居金祁新城,46699元/m2,14套在售二手房
复地新都国际,95903元/m2,9套在售二手房
溧阳华府(公寓),76917元/m2,4套在售二手房
金巷小区,47415元/m2,37套在售二手房
海上硕和城,78145元/m2,9套在售二手房
金轩大邸,74374元/m2,7套在售二手房
大华锦绣华城(十四街区),82020元/m2,15套在售二手房
博学家园,65097元/m2,8套在售二手房
番禺大厦,66132元/m2,23套在售二手房
龙源星城,23332元/m2,44套在售二手房
梅园三街坊,118736元/m2,24套在售二手房
双桥小区,70003元/m2,17套在售二手房
名都新城,65053元/m2,16套在售二手房
浦润苑,34449元/m2,34套在售二手房
海琪园,101357元/m2,8套在售二手房
圣鑫苑,41632元/m2,22套在售二手房
绿地新干线,42369元/m2,19套在售二手房
当代高邸,47314元/m2,9套在售二手房
绿城黄浦湾,131420元/m2,15套在售二手房
虹桥乐庭,100017元/m2,5套在售二手房
地杰国际城D街坊,51532元/m2,8套在售二手房
新舒苑,18775元/m2,30套在售二手房
梅园五街坊,114059元/m2,12套在售二手房
华山花苑,78662元/m2,22套在售二手房
丽江锦庭,42570元/m2,13套在售二手房
杉林新月环林东路879弄,55767元/m2,29套在售二手房
中鼎豪园,53821元/m2,8套在售二手房
恒盛鼎城圣都汇,64083元/m2,19套在售二手房
昌里花园,61268元/m2,5套在售二手房
世茂湖滨花园(公寓),82044元/m2,29套在售二手房
君莲新城广润苑,43442元/m2,21套在售二手房
东淮海公寓,97782元/m2,14套在售二手房
万科城,44827元/m2,41套在售二手房
万科时一区,78663元/m2,22套在售二手房
东方花园三期,74369元/m2,13套在售二手房
锦绣天第花园,86071元/m2,18套在售二手房
乐活居,100286元/m2,25套在售二手房
东方剑桥,105790元/m2,5套在售二手房
四季绿城,54751元/m2,27套在售二手房
汇丽花园,83625元/m2,14套在售二手房
强生花苑,77867元/m2,2套在售二手房
中房公寓,42330元/m2,27套在售二手房
三林新村(永泰路468弄),55249元/m2,8套在售二手房
当代清水园,97445元/m2,17套在售二手房
名门河滨花园,78938元/m2,7套在售二手房
蔚蓝城市花园,71555元/m2,11套在售二手房
文怡苑,41032元/m2,15套在售二手房
大华公园世家康华苑,53983元/m2,16套在售二手房
浦东星河湾,93990元/m2,33套在售二手房
荣和怡景园,54598元/m2,13套在售二手房
茉莉雅苑,31234元/m2,33套在售二手房
鸿艺豪苑,112142元/m2,5套在售二手房
虹桥河滨花园,80855元/m2,15套在售二手房
长宁88金廷,111560元/m2,5套在售二手房
远雄徐汇园,114531元/m2,9套在售二手房
美丽星城,41737元/m2,19套在售二手房
新南家园,27127元/m2,42套在售二手房
新凯城玉兰苑,34712元/m2,21套在售二手房
宜德苑,92663元/m2,5套在售二手房
盛大金磐,105986元/m2,12套在售二手房
汤巷馨村(二期),41440元/m2,8套在售二手房
森林公馆,45721元/m2,32套在售二手房
名嘉新苑,58606元/m2,10套在售二手房
信和花园,72938元/m2,13套在售二手房
水岸豪庭,82971元/m2,7套在售二手房
瑞虹新城铭庭,102374元/m2,11套在售二手房
中粮海景壹号,148170元/m2,2套在售二手房
金色贝拉维,103262元/m2,8套在售二手房
明天华城,48576元/m2,23套在售二手房
西凌新邨,81359元/m2,78套在售二手房
美兰湖岭域,40498元/m2,35套在售二手房
滨江小区,57082元/m2,14套在售二手房
虹桥新城,75793元/m2,9套在售二手房
金沙雅苑(三期),71039元/m2,11套在售二手房
华光花园,56491元/m2,33套在售二手房
新时代景庭,75905元/m2,7套在售二手房
博爱家园,71276元/m2,12套在售二手房
长宁馥邦苑,65937元/m2,5套在售二手房
昱龙家园,38641元/m2,25套在售二手房
保利叶之林(一期),55855元/m2,6套在售二手房
金地格林世界(格林公馆),50580元/m2,10套在售二手房
三林世博家园(东书房路560弄),53040元/m2,16套在售二手房
五月花都荟豪庭,85238元/m2,19套在售二手房
河滨城市花园,54045元/m2,30套在售二手房
中星怡景花园,95961元/m2,2套在售二手房
翰锦苑,69475元/m2,9套在售二手房
流晶逸彩,56680元/m2,17套在售二手房
静安新城七区,69321元/m2,10套在售二手房
中环家园,64383元/m2,17套在售二手房
恒大小区,56745元/m2,20套在售二手房
浅水湾恺悦名城,102477元/m2,5套在售二手房
翠竹苑,51320元/m2,10套在售二手房
宝宸共和家园,56930元/m2,8套在售二手房
天安花园,94358元/m2,15套在售二手房
香阁丽苑,86594元/m2,11套在售二手房
星丰苑,43724元/m2,28套在售二手房
保利叶上海(一期),48624元/m2,46套在售二手房
杉林新月环林东路799弄,54872元/m2,12套在售二手房
华欣家园,49621元/m2,11套在售二手房
杉林新月环林东路875弄,55619元/m2,13套在售二手房
金沙雅苑(一期),62925元/m2,13套在售二手房
华润中央公园(陈翔公路1588弄),52386元/m2,7套在售二手房
米兰诺贵都,42054元/m2,62套在售二手房
罗阳七村,48305元/m2,34套在售二手房
齐爱佳苑,50409元/m2,28套在售二手房
浦发御园,71471元/m2,12套在售二手房
东安二村,67345元/m2,9套在售二手房
培花久远公寓,60779元/m2,22套在售二手房
大宅风范城,43950元/m2,14套在售二手房
嘉利豪园,69441元/m2,9套在售二手房
现代星洲城,79851元/m2,12套在售二手房
梧桐花园,106499元/m2,5套在售二手房
新华世纪园,82857元/m2,6套在售二手房
四季园,81597元/m2,10套在售二手房
绿洲城市花园,78159元/m2,12套在售二手房
金羽名庭,86772元/m2,5套在售二手房
金虹桥井亭苑,68518元/m2,8套在售二手房
康桥花园,42546元/m2,33套在售二手房
合生时代锦苑(公寓),89156元/m2,3套在售二手房
泾东小区,70748元/m2,18套在售二手房
光鸿苑,69540元/m2,10套在售二手房
东苑古龙城(公寓),73445元/m2,8套在售二手房
爱家豪庭,88329元/m2,5套在售二手房
新城悠活城,34628元/m2,29套在售二手房
宜浩佳园,28928元/m2,40套在售二手房
华东花苑,56453元/m2,21套在售二手房
金鹏花园,64349元/m2,17套在售二手房
羽北小区,78415元/m2,10套在售二手房
陆家嘴花园(二期),96809元/m2,6套在售二手房
嘉园,88067元/m2,12套在售二手房
蒙西小区,88621元/m2,35套在售二手房
盛源家豪城,80536元/m2,14套在售二手房
明珠苑(浦东),77284元/m2,13套在售二手房
银春小区,39084元/m2,25套在售二手房
杨浦欣园,71374元/m2,6套在售二手房
永兆豪庭,72319元/m2,4套在售二手房
卢湾城市花园,95358元/m2,6套在售二手房
海尚明城,36918元/m2,31套在售二手房
梅园四街坊,104092元/m2,22套在售二手房
长岛公寓,49287元/m2,37套在售二手房
佳兆业壹号,39159元/m2,14套在售二手房
珠江香樟南园,75330元/m2,14套在售二手房
保利御樽苑(公寓),62387元/m2,23套在售二手房
南京西路公馆,100187元/m2,9套在售二手房
久阳滨江公寓,74079元/m2,8套在售二手房
金沙丽晶苑,57407元/m2,4套在售二手房
雅戈尔长风8号,93212元/m2,8套在售二手房
象屿品城,40760元/m2,20套在售二手房
新华南园大厦,80088元/m2,12套在售二手房
银河新都,48993元/m2,23套在售二手房
东旺名苑,68205元/m2,7套在售二手房
大宁金茂府,105631元/m2,7套在售二手房
创智坊(公寓),74133元/m2,9套在售二手房
绿地世纪城(三期),83520元/m2,3套在售二手房
富友嘉园,37659元/m2,29套在售二手房
书香名第,58266元/m2,4套在售二手房
合景叠翠峰苑,34638元/m2,33套在售二手房
中远行家,67768元/m2,12套在售二手房
万科清林径,35458元/m2,30套在售二手房
金领国际(公寓),43724元/m2,67套在售二手房
静安阳光名都,100812元/m2,4套在售二手房
大宁瑞仕花园,87836元/m2,6套在售二手房
古美小区,55790元/m2,36套在售二手房
大宁龙盛雅苑,91106元/m2,5套在售二手房
城市方园,50136元/m2,18套在售二手房
水岸蓝桥(公寓),65055元/m2,24套在售二手房
川杨新苑(二期),48759元/m2,15套在售二手房
象屿都城,40606元/m2,28套在售二手房
星颂家园,42094元/m2,52套在售二手房
绿洲香岛花园,40554元/m2,43套在售二手房
绿地秋霞坊(公寓),42465元/m2,12套在售二手房
